,EXH1.DE,EXV6.DE,EXV7.DE,EXH3.DE,EXH9.DE,IOGP.L,WNRG.L,XDW0.DE,IESU.L,GDIG.L,ISAG.L,GDX.L,GJGB.L,SPGP.L,IAUP.L,EXXY.DE,XDBC.DE,CMFP.L,CMOD.L,EQNR.OL,AKRBP.OL,DNO.OL,SUBC.OL,TGS.OL,BORR.OL,SHEL.L,BP.L,TTE.PA,NESTE.HE,CNA.L,ENGI.PA,RWE.DE,EOAN.DE,FORTUM.HE,ORSTED.CO,XOM,CVX,COP,FANG,DVN,EOG,OXY,APA,EQT,AR,RRC,CNX,LNG,SLB,HAL,BKR,CNQ.TO,SU.TO,CVE.TO,TOU.TO,ARX.TO,BIR.TO,PEY.TO,WCP.TO,VET.TO,NEM,AEM,B,GFI,AU,KGC,HMY,FNV,WPM,RGLD,PAAS,SSRM,IAG,BTG,EDV.TO,K.TO,ELD.TO,EQX.TO,LUG.TO,FRES.L,HOC.L,ANTO.L,GLEN.L,RIO.L,AAL.L,BHP.L,FCX,SCCO,TECK-B.TO,FM.TO,HBM.TO,LUN.TO,IVN.TO,ERO.TO,CS.TO,NEXA,BOL.ST,ATYM.L,CAML.L,AA,CENX,KALU,CSTM,VALE,ERA.PA,OUT1V.HE,SBSW,FXPO.L,MT.AS,SSAB-B.ST,STLD,CIA.TO,LIF.TO,BTU,HCC,CNR,ARLP,NC,MPE.L,RE.L,ADM,BG,CCJ,CCO.TO,NXE,UEC,DNN,UUUU,URG,PDN.AX,U-UN.TO,BWXT,LEU,CCL,AFM.V,SIP.BR,LOTB.BR,AI.PA,HEI.DE,NHY.OL,CLF,HSY,BARN.SW,NESN.SW,FRO.OL,OET.OL,DHT,NAT,HAFNI.OL,TRMD-A.CO,TNK,SBLK,GNK,PANL,2020.OL
1985-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23815,5.17449,4.48002,,,,8.26422,7.43013,2.91886,,20.3682,,,11.8345,9.89117,,,,,,,,,,,20.8032,20.997,,12.4646,,8.14459,,,,15.4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5699,,,,,,,,,,,,,,,,,,1.80741,,,4.10919,,,,,,,,,,,,,,,,,,,,3.32982,3.82068,,,,,,,,,,,,,
1985-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24888,5.2993,4.57501,,,,8.66587,7.83526,3.21888,,21.9615,,,12.3676,10.2362,,,,,,,,,,,19.9447,19.8399,1.0693,12.0202,,9.62608,,,,15.6568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9155,,,,,,,,,,,,,,,,,,1.81956,,,3.80575,,,,,,,,,,,,,,,,,,,,3.4582,4.03082,,,,,,,,,,,,,
1985-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47797,5.3175,3.51668,,,,8.92985,8.29595,3.24712,,18.5129,,,11.3819,9.83641,,,,,,,,,,,20.6272,25.5631,1.21747,14.5365,,8.07569,,,,14.4207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5994,,,,,,,,,,,,,,,,,,1.72621,,,4.08124,,,,,,,,,,,,,,,,,,,,3.09658,4.24297,,,,,,,,,,,,,
1985-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56789,5.63409,3.63753,,,,8.88808,8.60852,3.49289,,15.0761,,,11.5126,10.0701,,,,,,,,,,,20.5308,26.755,1.21177,13.385,,7.53555,,,,13.7674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0135,,,,,,,,,,,,,,,,,,1.74274,,,3.92455,,,,,,,,,,,,,,,,,,,,3.20456,4.02202,,,,,,,,,,,,,
1985-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85069,5.4946,3.63566,,,,9.29955,8.05134,3.73986,,16.6888,,,11.1399,10.2214,,,,,,,,,,,20.8587,24.826,1.20725,12.7001,,6.50646,,,,13.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7021,,,,,,,,,,,,,,,,,,1.6913,,,4.3177,,,,,,,,,,,,,,,,,,,,3.13161,4.39521,,,,,,,,,,,,,
1985-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82597,5.72834,3.55557,,,,10.2497,7.2054,3.76932,,18.3065,,,11.3826,9.42741,,,,,,,,,,,19.2448,23.975,1.20389,11.8414,,5.49012,,,,12.2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5703,,,,,,,,,,,,,,,,,,1.73955,,,4.64055,,,,,,,,,,,,,,,,,,,,3.24455,4.72011,,,,,,,,,,,,,
1985-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69407,5.6221,3.5241,,9.43568,,10.1555,7.45515,3.76233,,18.2725,,,11.3983,9.61098,,,,,,,,,,,20.5894,29.1328,1.50207,9.79689,,6.97446,,,,11.6191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4695,,,,,,,,,,,,,,,,,,1.85424,,,4.20898,,,,,,,,,,,,,,,,,,,,3.31949,4.47454,,,,,,,,,,,,,
1985-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7867,5.83967,3.51757,,8.76112,,9.5735,7.61644,3.69575,,18.2387,,,10.7532,9.37745,,,,,,,,,,,20.7809,31.1559,1.64922,9.33713,,9.94507,,,,8.11833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2677,,,,,,,,,,,,,,,,,,1.91684,,,4.21074,,,,,,,,,,,,,,,,,,,,3.23253,4.3893,,,,,,,,,,,,,
1985-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69426,5.72676,3.43696,,8.1908,,9.54624,7.733,3.30904,,16.5347,,,10.1109,8.29435,,,,,,,,,,,19.2922,27.1859,1.79416,8.93378,,8.92577,,,,8.67411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0273,,,,,,,,,,,,,,,,,,1.85052,,,4.12409,,,,,,,,,,,,,,,,,,,,2.90122,4.51471,,,,,,,,,,,,,
1985-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95873,6.03338,3.67143,,8.37827,,10.8046,8.4925,3.39557,,13.1791,,,9.77956,8.06128,,,,,,,,,,,20.3619,28.8916,1.48963,6.89506,,9.88102,,,,10.0826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5958,,,,,,,,,,,,,,,,,,1.97743,,,4.48968,,,,,,,,,,,,,,,,,,,,2.70989,4.92174,,,,,,,,,,,,,
