dato,spot
1988-01-01,16.4
1988-02-01,16.2
1988-03-01,15.95
1988-04-01,15.88
1988-05-01,15.45
1988-06-01,15.18
1988-07-01,14.65
1988-08-01,14.13
1988-09-01,13.8
1988-10-01,13.18
1988-11-01,12.85
1988-12-01,11.88
1989-01-01,11.55
1989-02-01,11.23
1989-03-01,10.73
1989-04-01,10.15
1989-05-01,9.8
1989-06-01,9.73
1989-07-01,9.73
1989-08-01,9.65
1989-09-01,9.6
1989-10-01,9.4
1989-11-01,9.25
1989-12-01,9.0
1990-01-01,8.88
1990-02-01,8.75
1990-03-01,8.8
1990-04-01,8.85
1990-05-01,9.3
1990-06-01,11.3
1990-07-01,11.73
1990-08-01,11.48
1990-09-01,10.3
1990-10-01,8.43
1990-11-01,9.65
1990-12-01,9.75
1991-01-01,9.15
1991-02-01,9.45
1991-03-01,9.35
1991-04-01,9.05
1991-05-01,9.23
1991-06-01,9.08
1991-07-01,8.65
1991-08-01,8.88
1991-09-01,8.33
1991-10-01,7.38
1991-11-01,7.4
1991-12-01,8.75
1992-01-01,7.95
1992-02-01,8.0
1992-03-01,7.88
1992-04-01,7.83
1992-05-01,7.73
1992-06-01,7.83
1992-07-01,7.83
1992-08-01,8.08
1992-09-01,8.68
1992-10-01,10.38
1992-11-01,10.4
1992-12-01,9.98
1993-01-01,9.75
1993-02-01,10.05
1993-03-01,10.1
1993-04-01,10.2
1993-05-01,10.08
1993-06-01,10.15
1993-07-01,9.9
1993-08-01,10.05
1993-09-01,10.25
1993-10-01,10.23
1993-11-01,9.95
1993-12-01,9.88
1994-01-01,9.5
1994-02-01,9.48
1994-03-01,9.48
1994-04-01,9.35
1994-05-01,9.25
1994-06-01,9.25
1994-07-01,9.33
1994-08-01,9.15
1994-09-01,9.08
1994-10-01,9.08
1994-11-01,9.48
1994-12-01,9.6
1995-01-01,9.68
1995-02-01,10.38
1995-03-01,11.08
1995-04-01,11.55
1995-05-01,11.78
1995-06-01,11.83
1995-07-01,11.88
1995-08-01,11.8
1995-09-01,11.75
1995-10-01,11.75
1995-11-01,11.83
1995-12-01,12.23
1996-01-01,12.95
1996-02-01,15.33
1996-03-01,15.83
1996-04-01,16.13
1996-05-01,16.5
1996-06-01,16.55
1996-07-01,16.5
1996-08-01,16.35
1996-09-01,15.9
1996-10-01,15.45
1996-11-01,14.95
1996-12-01,14.7
1997-01-01,14.25
1997-02-01,13.7
1997-03-01,13.0
1997-04-01,12.18
1997-05-01,11.45
1997-06-01,10.6
1997-07-01,10.5
1997-08-01,10.25
1997-09-01,10.93
1997-10-01,12.63
1997-11-01,12.75
1997-12-01,12.1
1998-01-01,11.9
1998-02-01,10.88
1998-03-01,10.73
1998-04-01,10.78
1998-05-01,10.83
1998-06-01,10.83
1998-07-01,10.5
1998-08-01,10.23
1998-09-01,9.83
1998-10-01,9.2
1998-11-01,8.75
1998-12-01,8.75
1999-01-01,10.5
1999-02-01,10.5
1999-03-01,10.85
1999-04-01,10.85
1999-05-01,10.63
1999-06-01,10.35
1999-07-01,10.25
1999-08-01,10.05
1999-09-01,9.83
1999-10-01,9.73
1999-11-01,9.68
1999-12-01,9.6
2000-01-01,9.45
2000-02-01,9.38
2000-03-01,9.2
2000-04-01,8.85
2000-05-01,8.43
2000-06-01,8.13
2000-07-01,8.08
2000-08-01,7.75
2000-09-01,7.43
2000-10-01,7.2
2000-11-01,7.13
2000-12-01,7.1
2001-01-01,7.23
2001-02-01,7.95
2001-03-01,8.2
2001-04-01,8.85
2001-05-01,8.85
2001-06-01,8.83
2001-07-01,8.93
2001-08-01,9.1
2001-09-01,9.4
2001-10-01,9.48
2001-11-01,9.5
2001-12-01,9.55
2002-01-01,9.7
2002-02-01,9.93
2002-03-01,9.83
2002-04-01,9.9
2002-05-01,9.9
2002-06-01,9.9
2002-07-01,9.85
2002-08-01,9.85
2002-09-01,9.75
2002-10-01,9.9
2002-11-01,9.88
2002-12-01,10.2
2003-01-01,10.15
2003-02-01,10.15
2003-03-01,10.1
2003-04-01,10.88
2003-05-01,10.95
2003-06-01,10.9
2003-07-01,11.05
2003-08-01,11.3
2003-09-01,12.23
2003-10-01,12.73
2003-11-01,13.75
2003-12-01,14.45
2004-01-01,15.55
2004-02-01,16.63
2004-03-01,17.63
2004-04-01,17.68
2004-05-01,17.8
2004-06-01,18.5
2004-07-01,18.5
2004-08-01,19.63
2004-09-01,20.0
2004-10-01,20.23
2004-11-01,20.5
2004-12-01,20.6
2005-01-01,21.1
2005-02-01,21.75
2005-03-01,22.55
2005-04-01,25.0
2005-05-01,29.0
2005-06-01,29.0
2005-07-01,29.5
2005-08-01,30.1
2005-09-01,31.63
2005-10-01,33.25
2005-11-01,34.75
2005-12-01,36.38
2006-01-01,37.5
2006-02-01,38.63
2006-03-01,40.75
2006-04-01,41.5
2006-05-01,43.0
2006-06-01,45.75
2006-07-01,47.38
2006-08-01,50.25
2006-09-01,54.88
2006-10-01,60.13
2006-11-01,63.5
2006-12-01,72.0
2007-01-01,75.0
2007-02-01,85.0
2007-03-01,95.0
2007-04-01,113.0
2007-05-01,125.0
2007-06-01,136.0
2007-07-01,120.0
2007-08-01,90.0
2007-09-01,85.0
2007-10-01,85.0
2007-11-01,93.0
2007-12-01,90.0
2008-01-01,78.0
2008-02-01,73.0
2008-03-01,71.0
2008-04-01,65.0
2008-05-01,60.0
2008-06-01,59.0
2008-07-01,64.5
2008-08-01,64.5
2008-09-01,53.0
2008-10-01,45.0
2008-11-01,55.0
2008-12-01,52.5
2009-01-01,47.5
2009-02-01,44.5
2009-03-01,42.0
2009-04-01,44.5
2009-05-01,49.0
2009-06-01,51.5
2009-07-01,47.0
2009-08-01,46.0
2009-09-01,42.88
2009-10-01,48.0
2009-11-01,45.38
2009-12-01,44.5
2010-01-01,42.38
2010-02-01,41.13
2010-03-01,41.88
2010-04-01,41.75
2010-05-01,40.75
2010-06-01,41.75
2010-07-01,45.63
2010-08-01,45.25
2010-09-01,46.63
2010-10-01,52.0
2010-11-01,60.63
2010-12-01,62.25
2011-01-01,72.63
2011-02-01,69.63
2011-03-01,60.5
2011-04-01,55.25
2011-05-01,57.0
2011-06-01,52.88
2011-07-01,51.75
