dato,uxc2
2007-05-13,134.9
2007-05-20,134.9
2007-05-27,140.0
2007-06-03,137.0
2007-06-10,140.0
2007-06-17,140.0
2007-06-24,140.0
2007-07-01,140.0
2007-07-08,140.0
2007-07-15,130.0
2007-07-22,120.0
2007-07-29,120.0
2007-10-28,98.0
2007-11-04,110.0
2007-11-11,110.0
2007-11-18,100.0
2007-11-25,99.0
2007-12-02,93.0
2007-12-09,93.0
2007-12-16,88.0
2007-12-23,88.0
2007-12-30,88.0
2008-01-06,88.0
2008-01-13,88.0
2008-01-20,88.0
2008-01-27,80.0
2008-02-03,80.0
2008-02-10,80.0
2008-02-17,80.0
2008-02-24,75.0
2008-03-02,75.0
2008-03-09,75.0
2008-03-16,75.0
2008-03-23,75.0
2008-03-30,75.0
2008-04-06,75.0
2008-04-13,71.0
2008-04-20,68.0
2008-04-27,68.0
2008-05-04,64.0
2008-05-11,62.0
2008-05-18,62.0
2008-05-25,64.0
2008-06-01,63.0
2008-06-08,60.0
2008-06-15,62.0
2008-06-22,57.0
2008-06-29,57.0
2008-07-06,61.0
2008-07-13,66.0
2008-07-20,66.0
2008-07-27,67.0
2008-08-03,67.0
2008-08-10,67.0
2008-08-17,67.0
2008-08-24,65.0
2008-08-31,65.0
2008-09-07,61.0
2008-09-14,59.0
2008-09-21,55.0
2008-09-28,50.0
2008-10-05,50.0
2008-10-12,47.0
2008-10-19,45.0
2008-10-26,46.0
2008-11-02,47.0
2008-11-09,50.0
2008-11-16,53.0
2008-11-23,57.0
2008-11-30,57.0
2008-12-07,57.0
2008-12-14,56.0
2008-12-21,56.0
2008-12-28,57.0
2009-01-04,57.0
2009-01-11,57.0
2009-01-18,57.0
2009-01-25,57.0
2009-02-01,52.0
2009-02-08,48.0
2009-02-15,48.0
2009-02-22,52.0
2009-03-01,52.0
2009-03-08,50.0
2009-03-15,50.0
2009-03-22,50.0
2009-03-29,50.0
2009-04-05,44.0
2009-04-12,44.0
2009-04-19,44.0
2009-04-26,44.0
2009-05-03,44.0
2009-05-10,51.0
2009-05-17,51.0
2009-05-24,49.0
2009-05-31,50.0
2009-06-07,50.0
2009-06-14,53.0
2009-06-21,54.0
2009-06-28,53.0
2009-07-05,53.0
2009-07-12,50.0
2009-07-19,49.0
2009-07-26,47.5
2009-08-02,48.5
2009-08-09,48.0
2009-08-16,48.0
2009-08-23,47.0
2009-08-30,46.0
2009-09-06,45.0
2009-09-13,44.5
2009-09-20,42.0
2009-09-27,42.0
2009-10-04,42.75
2009-10-11,46.5
2009-10-18,50.0
2009-10-25,46.0
2009-11-01,46.0
2009-11-08,44.0
2009-11-15,42.75
2009-11-22,44.0
2009-11-29,45.0
2009-12-06,44.5
2009-12-13,44.5
2009-12-20,44.35
2009-12-27,44.5
2010-01-03,44.5
2010-01-10,43.25
2010-01-17,42.5
2010-01-24,41.25
2010-01-31,42.5
2010-02-07,42.0
2010-02-14,41.25
2010-02-21,41.0
2010-02-28,40.25
2010-03-07,41.0
2010-03-14,41.5
2010-03-21,42.5
2010-03-28,41.5
2010-04-04,41.5
2010-04-11,41.25
2010-04-18,41.25
2010-04-25,41.75
2010-05-02,41.5
2010-05-09,41.5
2010-05-16,40.75
2010-05-23,40.5
2010-05-30,41.0
2010-06-06,40.75
2010-06-13,40.75
2010-06-20,40.75
2010-06-27,41.75
2010-07-04,41.75
2010-07-11,41.5
2010-07-18,42.0
2010-07-25,45.5
2010-08-01,45.5
2010-08-08,46.25
2010-08-15,46.0
2010-08-22,44.0
2010-08-29,47.0
2010-09-05,48.0
2010-09-12,47.5
2010-09-19,46.5
2010-09-26,46.5
2010-10-03,48.25
2010-10-10,48.25
2010-10-17,51.5
2010-10-24,52.0
2010-10-31,56.0
2010-11-07,58.5
2010-11-14,59.5
2010-11-21,60.0
2010-11-28,61.0
2010-12-05,61.25
2010-12-12,62.0
2010-12-19,62.5
2010-12-26,62.1
2011-01-02,65.75
2011-01-09,67.0
2011-01-16,69.0
2011-01-23,69.25
2011-01-30,73.0
2011-02-06,73.0
2011-02-13,68.5
2011-02-20,67.5
2011-02-27,67.0
2011-03-06,67.5
2011-03-13,55.5
2011-03-20,61.0
2011-03-27,59.0
2011-04-03,59.0
2011-04-10,58.0
2011-04-17,56.25
2011-04-24,55.25
2011-05-01,56.5
2011-05-08,58.0
2011-05-15,57.5
2011-05-22,57.5
2011-05-29,57.0
2011-06-05,55.5
2011-06-12,55.0
2011-06-19,54.75
2011-06-26,51.65
2011-07-03,53.65
2011-07-10,53.65
2011-07-17,52.15
2011-07-24,51.85
2011-07-31,51.65
2011-08-07,50.65
2011-08-14,50.15
2011-08-21,49.15
2011-08-28,50.45
2011-09-04,52.45
2011-09-11,52.45
2011-09-18,53.0
2011-09-25,52.05
2011-10-02,52.5
2011-10-09,53.25
2011-10-16,52.25
2011-10-23,52.0
2011-10-30,52.0
2011-11-06,52.75
2011-11-13,53.5
2011-11-20,52.5
2011-11-27,52.0
2011-12-04,52.75
2011-12-11,52.5
2011-12-18,52.25
2011-12-25,52.25
2012-01-01,52.25
2012-01-08,53.0
2012-01-15,52.75
2012-01-22,52.25
2012-01-29,52.15
